Date,Day,Robertson Sections,PlusNothing Sections (reference),Titles,Scripture (Harmony - Parallel Accounts),Words,Notes
2026-12-20,1,"#1, #2",1.1,In the Dedication Luke Explains His Method of Research | In His Introduction John Pictures Christ as the Word (Logos),Luke 1:1-4; John 1:1-18,392,folded in: #1
2026-12-21,2,#4,1.2,The Annunciation of the Birth of the Baptist to Zacharias,Luke 1:5-25,489,
2026-12-22,3,"#5, #6","1.3, 1.4",The Annunciation to the Virgin Mary of the Birth of Jesus | The Song of Elisabeth to Mary Upon Her Visit,Luke 1:26-38; Luke 1:39-45,425,
2026-12-23,4,"#7, #8a","1.5, 1.6",The Magnificat of Mary | John's birth,Luke 1:46-56; Luke 1:57-66,350,
2026-12-24,5,"#8b, #8c, #9, #10","1.7, 1.8",Zechariah's prophetic song | John's growth and early life | The Annunciation to Joseph of the Birth of Jesus | The Birth of Jesus,Luke 1:67-79; Luke 1:80; Matthew 1:18-25; Luke 2:1-7,590,"Christmas Eve anchor; folded in: #8c, #9"
2026-12-25,6,"#11, #12, #13","1.9, 1.10",The Praise of the Angels and the Homage of the Shepherds | The Circumcision of Jesus | The Presentation in the Temple with the Homage of Simeon and Anna,Luke 2:8-20; Luke 2:21; Luke 2:22-38,670,folded in: #12
2026-12-26,7,"#14, #15","1.11, 1.12","Magi Visit the New-born King of the Jews | The Child Jesus Carried to Egypt, and the Children at Bethlehem Slain",Matthew 2:1-12; Matthew 2:13-18,489,
2026-12-27,8,"#16, #17, #18, #19","1.13, 1.14, 1.15",The Child Brought from Egypt to Nazareth | The Childhood of Jesus at Nazareth | The Visit of the Boy Jesus to Jerusalem When Twelve Years Old | The Eighteen Years at Nazareth,Matthew 2:19-23; Luke 2:39; Luke 2:40; Luke 2:41-50; Luke 2:51-52,413,folded in: #19
2026-12-28,9,"#20, #21, #22, #23",2.1,The Time of the Beginning | The Message and the Messenger | A Specimen of John's Preaching | The Forerunner's Picture of the Messiah Before Seeing Him,Mark 1:1; Luke 3:1-2; Mark 1:2-6; Matthew 3:1-6; Luke 3:3-6; Matthew 3:7-10; Luke 3:7-14; Mark 1:7-8; Matthew 3:11-12; Luke 3:15-18,899,"folded in: #20, #23"
2026-12-29,10,"#3, #24, #25, #26","2.2, 2.3, 2.4",Apparently Joseph's Genealogy in Matthew and Mary's in Luke | Jesus Baptized by John in the Jordan | The Three Temptations of Jesus | The Testimony of the Baptist to the Committee of the Sanhedrin,Matthew 1:1-17; Luke 3:23-38; Mark 1:9-11; Matthew 3:13-17; Luke 3:21-23; Mark 1:12-13; Matthew 4:1-11; Luke 4:1-13; John 1:19-28,1731,
2026-12-30,11,"#27, #28","2.5, 2.6, 2.7",John's Identification of Jesus as the Messiah | Jesus Makes His First Disciples,John 1:29-34; John 1:35-51,506,
2026-12-31,12,"#29, #30, #31, #32a","2.8, 2.9","Jesus Works His First Miracle | Jesus Makes a First Sojourn at Capernaum, Accompanied by His Kindred and His Early Disciples | The First Cleansing of the Temple at the Passover | Early response to Jesus' miracles",John 2:1-11; John 2:12; John 2:13-22; John 2:23-25,510,"folded in: #30, #32a"
2027-01-01,13,"#32b, #33, #34","2.10, 2.11",Nicodemus' interview with Jesus | The Parallel Ministry of Jesus and John with John's Loyalty to Jesus | Christ's Reasons for Leaving Judea,John 3:1-21; John 3:22-36; Mark 1:14; Matthew 4:12; Luke 3:19-20; Luke 4:14; John 4:1-4,900,folded in: #34
2027-01-02,14,#35a,2.12,Discussion with a Samaritan woman,John 4:5-26,474,
2027-01-03,15,"#35b, #35c, #36, #38","2.13, 2.14, 2.15, 2.16",Challenge of a spiritual harvest | Evangelization of Sychar | The Arrival of Jesus in Galilee | The Healing at Cana of the Son of a Courtier of Capernaum,John 4:27-38; John 4:39-42; John 4:43-45; John 4:46-54,578,
2027-01-04,16,"#37, #39, #40","2.17, 2.18",General Account of His Teaching in Galilee | The First Rejection at Nazareth | The New Home in Capernaum,Mark 1:14-15; Matthew 4:17; Luke 4:14-15; Luke 4:16-31; Matthew 4:13-16,561,
2027-01-05,17,"#41, #42, #43, #44b","3.1, 3.2, 3.3",Jesus Finds Four Fishers of Men in Four Fishermen | The Excitement in the Synagogue Because of the Teaching of Jesus and the Healing of a Demoniac on the Sabbath | He Heals Peter's Mother-in-Law and Many Others | Second call to the disciples (Peter's great catch),Matthew 4:18-22; Mark 1:16-20; Mark 1:21-28; Luke 4:31-37; Mark 1:29-34; Matthew 8:14-17; Luke 4:38-41; Luke 5:1-11,1122,
2027-01-06,18,"#44a, #45, #46, #47a","3.4, 3.5, 3.6, 3.7","Tour of Galilee with Simon and others | A Leper Healed and Much Popular Excitement | Thronged in Capernaum, He Heals a Paralytic Lowered Through the Roof of Peter's House | Call of Matthew",Matthew 4:23-25; Mark 1:35-39; Luke 4:42-44; Mark 1:40-45; Matthew 8:2-4; Luke 5:12-16; Mark 2:1-12; Matthew 9:1-8; Luke 5:17-26; Matthew 9:9; Mark 2:13-14; Luke 5:27-28,1416,folded in: #47a
