Date,Day,PlusNothing Sections,Titles,Robertson Sections (reference),Scripture (PlusNothing),Words,Notes
2026-12-20,1,1.1,The Beginning,#2,John 1:1-18,310,
2026-12-21,2,1.2,An Angel Announces the Birth of John the Baptizer,#4,Luke 1:5-25,489,
2026-12-22,3,"1.3, 1.4",An Angel Announces the Birth of Jesus | Mary Visits Elizabeth,"#5, #6",Luke 1:26-38; Luke 1:39-45,425,
2026-12-23,4,"1.5, 1.6",Mary Praises God | The Birth of John the Baptizer,"#7, #8a",Luke 1:46-55; Luke 1:57-66,336,
2026-12-24,5,"1.7, 1.8",Zechariah Praises God | The Birth of Jesus,"#8b, #10",Luke 1:67-80; Luke 2:1-7,378,Christmas Eve anchor
2026-12-25,6,"1.9, 1.10",Shepherds Hear about Jesus | Jesus Is Presented in the Temple,"#11, #13",Luke 2:8-21; Luke 2:22-38,670,
2026-12-26,7,"1.11, 1.12",Wise Men Come to Visit Jesus | Jesus's Family Escapes to Egypt,"#14, #15",Matthew 2:1-12; Matthew 2:13-15,397,
2026-12-27,8,"1.13, 1.14, 1.15",The Killing of Baby Boys in Bethlehem | Jesus's Family Returns From Egypt | The Boy Jesus at the Temple,"#15, #16, #17, #18",Matthew 2:16-18; Matthew 2:19-23; Luke 2:40; Luke 2:41-52,482,
2026-12-28,9,2.1,John the Baptizer Prepares the Way,"#21, #22",Luke 3:1-6; Matthew 3:4-10; Luke 3:10-18,513,
2026-12-29,10,"2.2, 2.3, 2.4",The Baptism of Jesus | The Temptation of Jesus | John the Baptizer Talks about the Messiah,"#24, #3, #25, #26",Matthew 3:13-17; Luke 3:23a; Matthew 4:1-11; John 1:19-28,570,
2026-12-30,11,"2.5, 2.6, 2.7","Jesus, the Lamb of God | John Introduces His Followers to Jesus | Jesus Calls Philip and Nathanael","#27, #28",John 1:29-34; John 1:35-42; John 1:43-51,506,
2026-12-31,12,"2.8, 2.9",Jesus's First Miraculous Sign | Jesus at the Temple,"#29, #31",John 2:1-12; John 2:13-25,510,
